,0.00000001,0.00000004,0.00000018,0.00000078,0.00000336,0.00001438,0.00006158,0.00026367,0.00112884,0.00483293
100,0.111,0.1658,0.1834,0.1838,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826
200,0.1026,0.2272,0.2622,0.2466,0.2466,0.2466,0.2466,0.2466,0.2466,0.2466
500,0.2202,0.295,0.3008,0.2842,0.2708,0.2714,0.2714,0.2714,0.2714,0.2714
1000,0.2632,0.3164,0.3306,0.3148,0.2934,0.2934,0.2934,0.2934,0.2934,0.2934
2000,0.3,0.3476,0.345,0.321,0.3016,0.291,0.2906,0.2906,0.2906,0.2906
5000,0.353,0.3736,0.3752,0.3518,0.3216,0.3066,0.2992,0.2998,0.2998,0.2998
,0.02069138,0.08858668,0.37926902,1.62377674,6.95192796,29.76351442,127.4274986,545.5594781,2335.721469,10000
100,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826
200,0.2466,0.2466,0.2466,0.2466,0.2466,0.2466,0.2466,0.2466,0.2466,0.2466
500,0.2714,0.2714,0.2714,0.2714,0.2714,0.2714,0.2714,0.2714,0.2714,0.2714
1000,0.2934,0.2934,0.2934,0.2934,0.2934,0.2934,0.2934,0.2934,0.2934,0.2934
2000,0.2906,0.2906,0.2906,0.2906,0.2906,0.2906,0.2906,0.2906,0.2906,0.2906
5000,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998
