,0.00000001,0.00000003,0.00000011,0.00000038,0.00000127,0.00000428,0.00001438,0.00004833,0.00016238,0.00054556
100,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.709865,0.710445,0.710638
200,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710251,0.711025
500,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.713926
1000,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.711412,0.725725
2000,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.717215,0.734429
4138,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.710058,0.712186,0.725338,0.743327
,0.00183298,0.00615848,0.02069138,0.06951928,0.23357215,0.78475997,2.6366509,8.8586679,29.76351442,100
100,0.711605,0.716828,0.728433,0.74236,0.754932,0.770406,0.777756,0.786074,0.775629,0.781044
200,0.716441,0.730174,0.745261,0.758801,0.767892,0.782592,0.789555,0.798066,0.792456,0.786847
500,0.731141,0.745261,0.763636,0.77176,0.783172,0.791876,0.793424,0.793037,0.792456,0.792456
1000,0.741199,0.761896,0.7706,0.784139,0.790135,0.792843,0.797099,0.798646,0.79942,0.798453
2000,0.750097,0.768279,0.779304,0.793617,0.8,0.802515,0.804836,0.805029,0.80735,0.807544
4138,0.763056,0.774855,0.789362,0.794971,0.79942,0.801354,0.802128,0.802901,0.802708,0.802515
